"Period","Region","Age.Range","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2018-06-01","LVT","6",143.535714285714,15.7368907358469,62.5,66.1282068348458,153,25.1219942280643,529.79999999,4.91011124632633,190.5,8.63707904700815,41,228.209302325581,790,11.0285714285714,5.25714285714286,0.742857142857143,6,"2"
"2018-06-01","Madeira","6",218,13.8797916634097,41.7,51.7246175201808,94.2,66.2285118180668,264.69999999,27.4593880354103,169.4,2.87722221995139,9.09999999,119.435326842837,3168,16.5390143535017,0,0.787572112071512,6,"2"
"2018-06-01","Norte","6",111.866666666667,11.9106430155211,90,52.3090277777778,141,65.0012419834816,609.2,21.7019631373878,302.5,NA,NA,269.474635149409,1314.99999,11.4189756507137,2.40694094598377,0.783655191715645,6,"2"
"2018-06-01","Algarve","7",1340,15.122036258689,86.29999999,78.5306406646936,128.8,9.03863319036262,52.7,1.48607242199164,28.3,7.53407407245926,27,NA,NA,38.0527908418098,0.455722046009698,11.6209121732473,6,"2"
"2018-06-01","Centro","7",527.136363636364,13.9953703703704,45,56.089605734767,121,21.6914366595895,306,5.46142958244869,179,5.42966360856269,21,152.449771689498,708,49.5263870094723,1.08254397834912,9.29183581416328,6,"2"
"2018-06-01","LVT","7",575.793103448276,15.7368907358469,62.5,66.1282068348458,153,25.1219942280643,529.79999999,4.91011124632633,190.5,8.63707904700815,41,228.209302325581,790,41.4,5.91428571428571,8.62857142857143,6,"2"
"2018-06-01","Madeira","7",694.5,13.8797916634097,41.7,51.7246175201808,94.2,66.2285118180668,264.69999999,27.4593880354103,169.4,2.87722221995139,9.09999999,119.435326842837,3168,57.4927641812203,0,9.45086534485814,6,"2"
"2018-06-01","Norte","7",496.833333333333,11.9106430155211,90,52.3090277777778,141,65.0012419834816,609.2,21.7019631373878,302.5,NA,NA,269.474635149409,1314.99999,40.0783655191716,2.01511335012594,7.94850265883011,6,"2"
"2018-07-01","Algarve","1",14.75,14.938642656108,38.1,76.2950268777688,128.4,9.78252687827957,49,1.66075268680108,5.29999999,7.37828843104596,21,NA,NA,5.92438659812607,5.01294250610668,0,7,"1"
"2018-07-01","Centro","1",10.1525423728814,15.3780323450135,82,51.5591715976331,99,14.9789237668161,203,2.7695067264574,81,6.35215053763441,34,157.040849673203,1083,6.49526387009472,3.96932792061344,0,7,"1"
